,Product Name,Product Price,Key Features,Availability,Image Link,Product Link,brand
36,Zoom Q8 Handy Video Recorder,$399,"Records up to 2304x1296 Video at 30 fps,Wide-Angle 160° Lens,Detachable X/Y Condenser Microphone,Compatible with Zoom Microphone Capsules",In Stock,,https://www.bhphotovideo.com/c/product/1116341-REG/zoom_zq8_q8_handy_video_recorder.html,Zoom
37,Sony HDR-CX440 HD Handycam with 8GB Internal Memory,$399,"Full HD Video / 9.2MP Stills,Exmor R CMOS Sensor,8GB Internal Memory,Zeiss 30x Optical Zoom Lens",In Stock,,https://www.bhphotovideo.com/c/product/1109389-REG/sony_hdr_cx440_hd_camcorder_with.html,Sony
38,HamiltonBuhl ActionPro 24MP Full HD Digital Camcorder,$167,"720p Video at 30 fps / 1080p at 12 fps,18x Digital Zoom,Rotating 2.7"" LCD Screen,Built-In LED Light",In Stock,,https://www.bhphotovideo.com/c/product/1357334-REG/hamiltonbuhl_hdv17bk_actionpro_20mp_8x_digital.html,HamiltonBuhl
39,KJB Security Products SpyFinder Pro,$148,"Designed to Locate Hidden Cameras,2 to 45' Detection Range,Detects Wired and Wireless Cameras,Detects Working and Nonworking Cameras",In Stock,https://static.bhphoto.com/images/images345x345/1533902930_1428752.jpg,https://www.bhphotovideo.com/c/product/1428752-REG/kjb_security_products_sf103p_spy_finder_pro.html,KJB
40,Mini Gadgets CDRFLD RF Bug Detector with Lens Finder,$59,"Detects Wired and Wireless Cameras,50 MHz to 6 GHz Frequency Detection,Vibration Mode for Discreet Operation,Sensitivity Adjustment",In Stock,,https://www.bhphotovideo.com/c/product/1304576-REG/mgi_minigadgets_inc_cdrfld_bug_detector_with_rf.html,Mini
41,KJB Security Products KJ1000 White Noise Generator,$129,"Protects Against Recording Devices,Effective Range up to 150 ft²,Handheld Device,Battery Operated",In Stock,,https://www.bhphotovideo.com/c/product/937271-REG/kjb_security_products_j1000_white_noise_generator.html,KJB
42,Axis Communications C1310-E Network Horn Speaker,$499,"Deters Intruders & Unwanted Activity,Deliver Instructions in Emergencies,Supports Prerecorded Messages,DSP for Audio Clarity",Back-Ordered,https://static.bhphoto.com/images/en/na500x500.jpg,https://www.bhphotovideo.com/c/product/1552063-REG/axis_communications_01796_001_c1310_e_network_horn_speaker.html,Axis
43,JVC GY-HM250SP UHD 4K Streaming Camcorder with HD Sports Overlays,"$2,595","1/2.3"" CMOS Sensor, 12x Optical Zoom,Records UHD 4K 24/30p at 70/150 Mb/s,Updatable HD Sports Score Overlays,IP Control & Full HD Live Streaming",In Stock,,https://www.bhphotovideo.com/c/product/1400280-REG/jvc_gy_hm250sp_gy_hm250_4k_uhd_with.html,JVC
44,"Canon XF705 4K 1"" Sensor XF-HEVC H.265 Pro Camcorder","$6,999","1"" CMOS Sensor, 13.4MP,H.265/XF-HEVC Premiere Pro/FCP X Support,UHD 4K up to 60 fps, 1080p to 120 fps,15x Optical Zoom, 30x Digital",In Stock,,https://www.bhphotovideo.com/c/product/1434328-REG/canon_3041c002_xf705_hd_camcorder.html,Canon
45,Canon XC10 4K Professional Camcorder,"$1,599","1"" CMOS Sensor and DIGIC DV 5 Processor,UHD 4K at 29.97/23.98p,H.264 Recording in MXF Wrapper,Up to 305 Mb/s 4K, 50 Mb/s HD Recording",In Stock,,https://www.bhphotovideo.com/c/product/1383137-REG/canon_0506c002_xc10_with_lens_cap.html,Canon
46,Blackmagic Design URSA Broadcast G2 Camera with Fujinon 8.5-170mm Digital Servo Lens & Zoom/Focus Control,"$13,755","URSA Broadcast G2 Camera,Fujinon XA20sx8.5BERM-K3 ENG Lens,MS-01 Rear Zoom/Focus Lens Control Kit,Digital Servo Unit Included",More on the Way,,https://www.bhphotovideo.com/c/product/1674164-REG/blackmagic_design_bmd_cineursamwc6kg2_xa20sx8_5berm_kit_ursa_broadcast_g2_camera.html,Blackmagic
47,Panasonic HC-MDH3E AVCHD Shoulder Mount Camcorder with LCD Touchscreen & LED Light (PAL),"$1,399","LED Light Built into Top Handle,1/3.1"" BSI MOS Sensor,Up to 1080p50 Recording at 50 Mb/s,MP4, MOV, and AVCHD Formats",In Stock,,https://www.bhphotovideo.com/c/product/1504478-REG/panasonic_hc_mdh3e_hc_mdh3_avchd_shoulder_mount.html,Panasonic
48,Panasonic HC-MDH3 AVCHD Shoulder Mount Camcorder with LCD Touchscreen & LED Light,"$1,399","HD Camcorder with Built-In LED Light,1/3.1"" BSI MOS Sensor,1920 x 1080 up to 59.94p,20x Optical Zoom Lens",In Stock,,https://www.bhphotovideo.com/c/product/1406669-REG/panasonic_hc_mdh3_avchd_shoulder_mount.html,Panasonic
49,"JVC GY-HC500USPCU Handheld Connected Cam 1"" 4K Professional Camcorder","$3,995","Scoreboard/Broadcast Overlay,Built-In GPS, Sports Metadata Tagging,1"" CMOS Sensor, 20x Optical Zoom,3840 x 2160 60p/50p/30p/25p/24p",In Stock,,https://www.bhphotovideo.com/c/product/1438295-REG/jvc_gy_hc500spc_connected_cam_4k.html,JVC
50,"JVC GY-HC550 Handheld Connected Cam 1"" 4K Broadcast Camcorder","$4,990","Broadcast Overlay, MPEG-2 Recording,Built-In Wireless LAN, Zixi, and GPS,1"" CMOS Sensor, 20x Optical Zoom,3840 x 2160 60p/50p/30p/25p/24p",In Stock,,https://www.bhphotovideo.com/c/product/1438287-REG/jvc_gy_hc550_connected_cam_4k_broadcast.html,JVC
51,"Canon VIXIA GX10 UHD 4K Camcorder with 1"" CMOS Sensor & Dual-Pixel CMOS AF","$2,499","UHD 4K Output up to 60 fps,8.29MP, 1"" CMOS Sensor,Dual-Pixel CMOS Autofocus Feature,Integrated 15x Optical Zoom Lens",In Stock,,https://www.bhphotovideo.com/c/product/1361409-REG/canon_2214c002_gx10_camcorder_with_8_29.html,Canon
